#SSD VISUALIZATION MODE TRACE: 2 PLANES X 32 BLOCKS X 32 PAGES
#Output from DiskSim execution of ReusableSSD
#Input is a Zipf workload with alpha=1, accessing 1200 logical pages.
#Resources
# DiskSim and SSD extension: 
#  http://www.pdl.cmu.edu/DiskSim/
# Zipf workload generator in C:
#  http://www.csee.usf.edu/~christen/tools/genzipf.c
# ReusableSSD paper: 
#  https://www.usenix.org/conference/fast15/technical-sessions/presentation/yadgar
S <0,0> Active1 
W 1 326 <0,5,16> 
W 1 327 <0,5,17> 
W 1 328 <0,5,18> 
W 1 329 <0,5,19> 
W 1 330 <0,5,20> 
W 1 331 <0,5,21> 
W 1 332 <0,5,22> 
W 1 333 <0,5,23> 
W 1 334 <0,5,24> 
W 1 335 <0,5,25> 
W 1 336 <0,5,26> 
W 1 337 <0,5,27> 
W 1 338 <0,5,28> 
W 1 339 <0,5,29> 
W 1 340 <0,5,30> 
S <0,5> Used 
S <1,5> Active1 
W 1 341 <1,5,0> 
W 1 342 <1,5,1> 
W 1 343 <1,5,2> 
W 1 344 <1,5,3> 
W 1 345 <1,5,4> 
W 1 346 <1,5,5> 
W 1 347 <1,5,6> 
W 1 348 <1,5,7> 
W 1 349 <1,5,8> 
W 1 350 <1,5,9> 
W 1 351 <1,5,10> 
W 1 352 <1,5,11> 
W 1 353 <1,5,12> 
W 1 354 <1,5,13> 
W 1 355 <1,5,14> 
W 1 356 <1,5,15> 
W 1 357 <1,5,16> 
W 1 358 <1,5,17> 
W 1 359 <1,5,18> 
W 1 360 <1,5,19> 
W 1 361 <1,5,20> 
W 1 362 <1,5,21> 
W 1 363 <1,5,22> 
W 1 364 <1,5,23> 
W 1 365 <1,5,24> 
W 1 366 <1,5,25> 
W 1 367 <1,5,26> 
W 1 368 <1,5,27> 
W 1 369 <1,5,28> 
W 1 370 <1,5,29> 
W 1 371 <1,5,30> 
S <1,5> Used 
S <0,6> Active1 
W 1 372 <0,6,0> 
W 1 373 <0,6,1> 
W 1 374 <0,6,2> 
W 1 375 <0,6,3> 
W 1 376 <0,6,4> 
